Taxa	Mg	Ca	Mn	Fe	Cu	Zn	TKW	PH
GKN_000241_2_1	-14.98591661	14.18507704	-1.563047107	-0.87417138	-0.054266973	1.576664442	-3.548866349	2.056227939
TR_68832_E27_1	1.458230591	-7.904496552	3.089334411	0.141890131	0.009661954	2.669038231	1.400845629	-0.875248001
PI_168803_TR04ID_A42_1	10.58854697	-3.77722081	-0.387177851	1.365341331	-0.042325789	2.798428162	-4.7371219	3.578882379
PI_266844_TR17ID_A76_1	-19.29144565	-49.65250645	-2.885876057	-0.950240781	-0.274526963	-7.91592557	-6.631834623	-2.428302261
GKN_000272_29_1	11.6532692	-4.015589147	4.434516619	2.359433557	-0.095818929	4.345678139	-2.9777458	0.491856939
PI_221413_TR01ID_A71_1	-3.282004236	3.54972127	-0.353082176	2.942158064	-0.144974119	5.035007353	-4.849000175	0.533573499
PI_290511_TR17ID_A84_2	14.13216516	34.3216045	-1.272748376	-0.469126144	0.080424073	7.391778561	-4.471862119	0.304132419
PI_119422_TR05ID_A1_2	17.5543111	20.50059149	-2.095632647	1.914234581	0.228483722	5.51299263	-3.332327752	-1.218522021
GKN_000261_19_1	27.98807443	29.63910397	3.123067863	0.997164087	0.188677121	2.597145351	-2.852333862	2.348243859
PI_264935_TR17ID_A74_1	25.5826725	3.126298268	-0.826254891	-0.420952353	-0.057933825	8.053971169	0.402060801	2.285669019
TR_61226_E2_1	27.71567135	86.08039567	10.29785672	2.126978687	0.223663257	3.62541246	-4.661333391	-0.697065021
PI_191097_TR17ID_A63_1	10.53391988	34.68853962	-3.511072708	-1.084874186	-0.071714554	-4.642287289	-3.930515626	0.867305979
TR_68828_E24_1	-9.311966049	71.37457504	0.862096407	0.27587392	-0.012796519	-2.589670735	-3.413529726	2.765409459
PI_345242_TR09ID_A100_1	18.19963634	90.41903977	7.02747253	2.542955109	0.33111094	7.352918393	-3.524505757	0.533573499
GKN_000252_11_1	113.6709163	47.27196742	8.952680153	4.129364651	-0.134059152	10.89699277	-5.44087234	0.012116499
PI_221393_TR17ID_A70_1	21.35061673	11.53297694	2.531577423	1.459412151	0.179733791	1.606890533	1.239343376	-0.989080941
PI_191095_TR17ID_A61_1	-38.69387738	-3.800435482	-0.691070438	-0.921877767	-0.244365647	0.123036375	-0.893561804	2.807126019
PI_192063_TR17ID_A56_1	-11.19786281	-32.55618946	1.111083739	-2.804498369	-0.450052026	-0.771812952	2.246247852	-1.322813421
PI_428169_TR17ID_A5_1	42.95142867	-16.14313403	6.051984415	0.216562537	-0.130412021	2.938385858	-0.571460641	-2.407443981
TR_68839_E29_1	-28.99725089	7.767585256	-1.115309669	0.609937336	-0.021729793	-1.102506366	-3.578640406	2.932275699
TR_68876_E47_1	2.184486389	29.67955584	-0.920029574	1.20696639	-0.016973762	-1.404439931	-3.903448302	1.493054379
TR_68991_E49_1	-14.19659179	22.3209044	6.755451454	-0.758083892	0.020902313	-6.821773514	-1.819264306	-0.968222661
TR_63611_E8_1	57.17956206	17.3167243	5.84650243	1.837462103	0.045337193	2.920458194	-6.688676005	2.932275699
GKN_000268_26_2	45.91512033	30.64507427	6.487222284	3.291964584	0.226787561	3.672134899	-7.527763068	1.701637179
TR_68821_E20_1	30.0940362	-10.92437743	5.631106031	1.782240374	0.222491769	10.8789969	-1.151274776	0.419247484
PI_352473_TR04ID_A102_1	32.96993625	-24.44567577	3.994932875	3.536930421	0.032086269	4.633778573	-3.356688344	0.345848979
GKN_000240_1_1	46.89151675	-51.1480994	10.08803281	3.695409139	-0.257141366	6.622386	4.276297199	-0.968222661
PI_119423_TR17ID_A2_1	35.85857181	13.59211488	0.91123098	2.717773293	0.167434904	10.18087862	-2.171139526	-2.386585701
GKN_000244_5_1	17.55983704	21.40299097	-1.963761189	1.857651512	0.103540883	4.1101306	-3.524505757	0.324990699
GKN_000249_77_2	-86.42639879	-70.62312812	-12.71003589	-3.355190405	-0.386495989	-8.167702535	-1.001831102	-5.515327702
GKN_000255_14_1	44.74020069	7.373701953	0.144385421	0.059920194	0.116275231	1.732755715	-2.9777458	-2.136286341
TR_68857_E36_1	-42.16732878	-20.50000464	-8.412031459	-2.186661961	-0.270220698	-4.91087535	0.333490246	1.805928579
PI_190915_TR05ID_A52_1	14.29494855	7.345207311	-3.456630524	0.446944959	-0.103050875	-1.242325837	0.61679491	2.035369659
GKN_000262_20_1	1.719850584	30.27567402	-0.767173352	2.14346809	0.23699609	-1.585853814	1.537083947	1.972794819
PI_237659_TR08ID_A75_1	15.58257756	9.83863852	-3.172309718	-1.337676321	0.004873393	-0.494784147	-1.895052815	0.742156299
TR_68851_E34_1	3.169960577	7.559100543	0.935603307	2.972148907	0.461912633	0.405250002	-1.437615029	0.533573499
TUR_02336_111_1	-31.14436876	27.89651193	-0.322165231	-0.563195008	-0.162009574	0.427082576	-0.249359478	-2.386585701
PI_167625_TR09ID_A18_1	-24.28967387	-19.83946393	-6.12056929	-0.31781509	-0.035179759	-6.229362903	-2.355197333	-3.450357981
TR_70179_E54_1	-10.16882009	-25.27495618	-3.250428218	2.28204079	0.199143487	-1.151874148	-1.94828522	-1.155947181
GKN_000264_22_1	5.981015857	18.45501655	-1.582592829	-0.954031813	0.103038076	2.351240748	-1.407840972	-0.551057061
PI_170196_TR17ID_A8_1	5.020895033	26.11628373	2.796107538	1.668603734	0.001833577	-1.885167621	1.861891843	-0.217324581
PI_306545_TR16ID_A92_2	19.19255121	43.32437449	6.386968283	2.183336118	-0.080377784	0.877798092	2.489853774	-0.863931261
